arrest_id_x,person_id,age_at_arrest,sex,race,arrest_date_univ,arrest_id_y,charge_degree,offense_category,arrest_date_event,days_after_arrest,y,current_charge_felony,days_before_arrest,num_fel_arrests_last_year
5728038,2743,19.27123287671233,M,Black,2017-05-26,7073872,felony,violent,2019-02-04,619,0,1,-619,0
5728038,2743,19.27123287671233,M,Black,2017-05-26,4955931,felony,violent,2017-10-24,151,1,1,-151,0
5728038,2743,19.27123287671233,M,Black,2017-05-26,5728038,misdemeanor,property,2017-05-26,0,0,0,0,0
5728038,2743,19.27123287671233,M,Black,2017-05-26,2412492,felony,violent,2019-01-10,594,0,1,-594,0
5728038,2743,19.27123287671233,M,Black,2017-05-26,3611694,misdemeanor,drug,2018-06-12,382,0,0,-382,0
5728038,2743,19.27123287671233,M,Black,2017-05-26,6004081,misdemeanor,other,2017-03-16,-71,0,0,71,0
4871957,2778,29.649315068493152,M,mixed,2017-11-05,4660172,misdemeanor,violent,2017-12-11,36,0,0,-36,0
4871957,2778,29.649315068493152,M,mixed,2017-11-05,4660173,misdemeanor,violent,2017-12-11,36,0,0,-36,0
4871957,2778,29.649315068493152,M,mixed,2017-11-05,4871957,misdemeanor,violent,2017-11-05,0,0,0,0,0
4871957,2778,29.649315068493152,M,mixed,2017-11-05,4894787,misdemeanor,violent,2017-10-31,-5,0,0,5,0
4871957,2778,29.649315068493152,M,mixed,2017-11-05,8078126,misdemeanor,drug,2015-08-08,-820,0,0,820,0
4871957,2778,29.649315068493152,M,mixed,2017-11-05,6257420,misdemeanor,other,2017-01-09,-300,0,0,300,0
4871957,2778,29.649315068493152,M,mixed,2017-11-05,7834305,misdemeanor,drug,2015-10-21,-746,0,0,746,0
4871957,2778,29.649315068493152,M,mixed,2017-11-05,10893624,misdemeanor,property,2013-01-07,-1763,0,0,1763,0
3819130,2870,38.43835616438356,M,White,2018-05-04,5086582,misdemeanor,drug,2017-10-01,-215,0,0,215,0
3819130,2870,38.43835616438356,M,White,2018-05-04,5542493,misdemeanor,drug,2017-07-06,-302,0,0,302,0
3819130,2870,38.43835616438356,M,White,2018-05-04,5231180,misdemeanor,drug,2017-09-07,-239,0,0,239,0
3819130,2870,38.43835616438356,M,White,2018-05-04,5971286,misdemeanor,drug,2017-03-26,-404,0,0,404,0
3819130,2870,38.43835616438356,M,White,2018-05-04,6444445,misdemeanor,drug,2016-11-12,-538,0,0,538,0
3819130,2870,38.43835616438356,M,White,2018-05-04,3819130,misdemeanor,property,2018-05-04,0,0,0,0,0
3819130,2870,38.43835616438356,M,White,2018-05-04,10943242,misdemeanor,drug,2012-12-16,-1965,0,0,1965,0
3819130,2870,38.43835616438356,M,White,2018-05-04,11303842,misdemeanor,property,2012-08-12,-2091,0,0,2091,0
3819130,2870,38.43835616438356,M,White,2018-05-04,11105983,felony,violent,2012-10-18,-2024,0,1,2024,0
3819130,2870,38.43835616438356,M,White,2018-05-04,8896745,misdemeanor,other,2014-11-12,-1269,0,0,1269,0
3819130,2870,38.43835616438356,M,White,2018-05-04,6036259,misdemeanor,property,2017-03-07,-423,0,0,423,0
7383051,3484,38.0,M,Black,2016-03-06,812090,felony,property,2019-10-16,1319,0,1,-1319,0
7383051,3484,38.0,M,Black,2016-03-06,4760305,felony,violent,2017-11-25,629,0,1,-629,0
7383051,3484,38.0,M,Black,2016-03-06,1781878,misdemeanor,violent,2019-05-04,1154,0,0,-1154,0
7383051,3484,38.0,M,Black,2016-03-06,2494778,misdemeanor,violent,2018-12-24,1023,0,0,-1023,0
7383051,3484,38.0,M,Black,2016-03-06,7383051,misdemeanor,property,2016-03-06,0,0,0,0,0
7383051,3484,38.0,M,Black,2016-03-06,1863547,misdemeanor,violent,2019-04-18,1138,0,0,-1138,0
7383051,3484,38.0,M,Black,2016-03-06,936287,felony,property,2019-09-22,1295,0,1,-1295,0
6370773,3909,47.17260273972602,M,White,2016-12-01,8403278,misdemeanor,other,2015-04-24,-587,0,0,587,1
6370773,3909,47.17260273972602,M,White,2016-12-01,8973210,misdemeanor,property,2014-10-15,-778,0,0,778,1
6370773,3909,47.17260273972602,M,White,2016-12-01,9465089,misdemeanor,property,2014-05-12,-934,0,0,934,1
6370773,3909,47.17260273972602,M,White,2016-12-01,6211284,misdemeanor,property,2017-01-23,53,0,0,-53,1
6370773,3909,47.17260273972602,M,White,2016-12-01,6211285,misdemeanor,property,2017-01-23,53,0,0,-53,1
6370773,3909,47.17260273972602,M,White,2016-12-01,6249872,felony,property,2017-01-11,41,1,1,-41,1
6370773,3909,47.17260273972602,M,White,2016-12-01,10537708,misdemeanor,property,2013-05-14,-1297,0,0,1297,1
6370773,3909,47.17260273972602,M,White,2016-12-01,6370772,misdemeanor,property,2016-12-01,0,0,0,0,1
6370773,3909,47.17260273972602,M,White,2016-12-01,6370773,felony,property,2016-12-01,0,0,1,0,1
6370773,3909,47.17260273972602,M,White,2016-12-01,10809059,misdemeanor,violent,2013-02-07,-1393,0,0,1393,1
6370773,3909,47.17260273972602,M,White,2016-12-01,6374427,felony,property,2016-11-30,-1,0,1,1,1
6370773,3909,47.17260273972602,M,White,2016-12-01,10729887,misdemeanor,other,2013-03-07,-1365,0,0,1365,1
4609251,4741,33.49589041095891,M,White,2017-12-21,5920061,misdemeanor,property,2017-04-06,-259,0,0,259,1
4609251,4741,33.49589041095891,M,White,2017-12-21,4236055,misdemeanor,violent,2018-03-05,74,0,0,-74,1
4609251,4741,33.49589041095891,M,White,2017-12-21,4236057,misdemeanor,property,2018-03-05,74,0,0,-74,1
4609251,4741,33.49589041095891,M,White,2017-12-21,3786337,felony,property,2018-05-10,140,1,1,-140,1
4609251,4741,33.49589041095891,M,White,2017-12-21,5771775,misdemeanor,property,2017-05-15,-220,0,0,220,1
4609251,4741,33.49589041095891,M,White,2017-12-21,4740711,misdemeanor,property,2017-11-28,-23,0,0,23,1
4609251,4741,33.49589041095891,M,White,2017-12-21,6277311,misdemeanor,property,2017-01-04,-351,0,0,351,1
4609251,4741,33.49589041095891,M,White,2017-12-21,5521968,misdemeanor,property,2017-07-11,-163,0,0,163,1
4609251,4741,33.49589041095891,M,White,2017-12-21,1427079,misdemeanor,property,2019-06-19,545,0,0,-545,1
